,,,,
AREA_ID,AREA_NAME,PARENT_NAME,PARENT_PARENT_Name,AREA_Parent_PP_NAME
98216,Villa Solidaridad,CITY OF BAYBAY,LEYTE,Villa Solidaridad_CITY OF BAYBAY_LEYTE
98217,Zacarito,CITY OF BAYBAY,LEYTE,Zacarito_CITY OF BAYBAY_LEYTE
98218,Poblacion Zone 1,CITY OF BAYBAY,LEYTE,Poblacion Zone 1_CITY OF BAYBAY_LEYTE
98219,Cogon,CITY OF BAYBAY,LEYTE,Cogon_CITY OF BAYBAY_LEYTE
98220,Monte Verde,CITY OF BAYBAY,LEYTE,Monte Verde_CITY OF BAYBAY_LEYTE
98221,Villa Mag-aso,CITY OF BAYBAY,LEYTE,Villa Mag-aso_CITY OF BAYBAY_LEYTE
98222,BURAUEN,LEYTE,REGION VIII (EASTERN VISAYAS),BURAUEN_LEYTE_REGION VIII (EASTERN VISAYAS)
98223,Abuyogon,BURAUEN,LEYTE,Abuyogon_BURAUEN_LEYTE
98224,Anonang,BURAUEN,LEYTE,Anonang_BURAUEN_LEYTE
98225,Arado,BURAUEN,LEYTE,Arado_BURAUEN_LEYTE
98226,Balao,BURAUEN,LEYTE,Balao_BURAUEN_LEYTE
98227,Balatson,BURAUEN,LEYTE,Balatson_BURAUEN_LEYTE
98228,Balorinay,BURAUEN,LEYTE,Balorinay_BURAUEN_LEYTE
98229,Bobon,BURAUEN,LEYTE,Bobon_BURAUEN_LEYTE
98230,Buenavista,BURAUEN,LEYTE,Buenavista_BURAUEN_LEYTE
98231,Buri,BURAUEN,LEYTE,Buri_BURAUEN_LEYTE
98232,Caanislagan,BURAUEN,LEYTE,Caanislagan_BURAUEN_LEYTE
98233,Cadahunan,BURAUEN,LEYTE,Cadahunan_BURAUEN_LEYTE
98234,Cagangon,BURAUEN,LEYTE,Cagangon_BURAUEN_LEYTE
98235,Cali,BURAUEN,LEYTE,Cali_BURAUEN_LEYTE
98236,Calsadahay,BURAUEN,LEYTE,Calsadahay_BURAUEN_LEYTE
